prod_descripcion,prod_codigo,,,,
TREGAR QUESO HOLANDAXKG.,12,,,,
UBRE,5099,,,,
COLORADO,77936189,,,,
MOGOL BEN 10,580947415,,,,
MARLBORO GOLD,77905819,,,,
JABON LUX,7791293019321,,,,
ROTHMANS,77954961,,,,
HALLS MIEL,77905291,,,,
BON O BON,77919373,,,,
SONAJEROS,7798154731071,,,,
PICO DULCE,178,,,,
PALL MALL,77941381,,,,
ROTHMANS,77955425,,,,
DEA GUANTE CHICO.,7798059385010,,,,
J.P. PIZZA DOBLE,710,,,,
BON O BON,77903563,,,,
ARCOR ACEITE MAIZX900.PVC,7790580160807,,,,
SAN BERNARDINO VINAG.MANZ.X500,7790939000068,,,,
COLGATE SENSITIVEx50PRO.ALIVIO,7891024123744,,,,
GARCIA RICOTAx500gr.ENTERA 028,7793940028007,,,,
PAN HAMBURGUESAS SESAMO,2000300010004,,,,
NATURA ACEITEx1 1/2LT.PVC,7790272001029,,,,
CORAZON ACEITE GIRASOLx3lt,7794519001438,,,,
LEGITIMO ACEITE x1.5LT,7796039001608,,,,
CORONA CERVEZA X 710,7501064106859,,,,
PEPSICO CHEETOSx43 PALITOS,7790310005255,,,,
COMTE DE VALMONT VINO BLANCO,7790975001227,,,,
BROCHES DE MADERA x 12unid.,7793462000001,,,,
BROCHES PLASTICOSx12.PINCILIST,7793462000031,,,,
LABROIER PECHUGA DE PAVOxKG,2711,,,,
CEPILLO LAVACOCHES,7793621000070,,,,
POLYCERA AUTOBRILLOx750INCOLOR,7791130002097,,,,
BLEM AUTOBRILLOx2LT INCOLORO,7790463000060,,,,
POLYCERA CERA INCOLOROx400CC.,7791130000154,,,,
SUIZA CERA LIQx850 NATURAL,7790613071001,,,,
SUIZA RESTAURADOR x200 CAOBA,7790613000827,,,,
SUIZA CERA LIQx850ROBLE CLARO,7790613071018,,,,
SUIZA CERA PASTAx360.NATURAL,7790613070844,,,,
SUIZA RESTAURADOR x200 NOGAL,7790613000834,,,,
BELAROM PASTILLAx60gr.,7791130000802,,,,
AYUDIN DESTAPACAÑERIASx1LT.,7790132072206,,,,
FAVORITA HARINA 0000 xKG,7790070506528,,,,
CAMELLITO ROPA FINA SACHETx120,7791290009776,,,,
YOGURISIMOx1.100.SACH.FRU 9515,7791337651524,,,,
ZORRO JABx3KG REG.C.SUAVIZANTE,7790990992777,,,,
CLEAR ACONDx400.WOMEN CAIDA DE,7891150015609,,,,
ECHO en el BALDEx2LT.,7790520010384,,,,
RULETEC ESCOBA PLAST.N3 s/CABO,7798265300043,,,,
LA SER.QUESO SARDOxKG.FRAC.629,305,,,,
RULETEC ESCOBILLON PLASTs/CABO,7798265300067,,,,
DEA ESPONJA BRONCE,7798059384013,,,,
MORTIMER ESPONJA CUADRICULADA.,7793253038106,,,,
MORTIMER TRAP.ESPONJA DOBLE CA,7793253038526,,,,
DEA FIBRA ESPONJA VERDE,7798059384518,,,,
MORTIMER ESPONJA ANTIBACTERIAL,7793253000363,,,,
MANCHESTER FLUIDOx350,7792023000022,,,,
MANCHESTER FLUIDOx700,7792023000015,,,,
GRAN FRAGATA FOSFOROSx400.,7790590000575,,,,
TRES PATITOS FOSFOROSx222,7790590000339,,,,
PANTENE TRATx150.F/NA REPARACI,7506195126578,,,,
AYUDIN ROPA BLANCA LAVANDINAx1,7793253401016,,,,
AYUDIN LAVANDINAx1.DESENGRASAN,7793253096878,,,,
AYUDIN LAVAND.MULTISUX1GLACIAR,7793253001407,,,,
AYUDIN LAVAND.MULTISUX2LAVANDA,7793253001384,,,,
ESTOY EN EL HORNO x 10,7798169380004,,,,
CABSHA ALFAJORx47GRS,7793578600,,,,
BRASSO ANTIGRASA REPUESTOx500,7791130007320,,,,
BRAHAMA CERVEZA LATAX500,7792798005888,,,,
BRASSO MULTIUSOx500 REPUESTO,7791130007269,,,,
VANISH EN POLVOx120 DOY PACK,7501058753441,,,,
PROCENEX LIMP.LIQX900.LIMON,7791130683678,,,,
TRENET GATILLOx500 PRETAT.,7793253001179,,,,
CIF LIMP.CREMOSOx750 ORIGINAL,7791290008441,,,,
ZEBRA LIMPIAHORNOSx346cc.,7791130140621,,,,
BRASSO VIDRIOSx500 GATILLO,7791130007542,,,,
BLEM LUSTRAMx235ELECTRONIC,7790520004307,,,,
CERAMICOL LUSTRAMUEBLESx360cc,7790463000114,,,,
POLYCERA LUSTRAMUEBLESx346cc,7791130002127,,,,
CERAMICOL BRISHINEx250LUSTRAMU,7790520002013,,,,
LARIO SALCHICHON PRIMAVERA XKG,323,,,,
LARIO FIAMBRE EMPAREDADO 66xKG,322,,,,
LARIO JAMON COCIDOxKG,321,,,,
ODEX POLVO AZULx500Gr.,7793100311055,,,,
ODEX POLVO ROJO x 500,7793100311062,,,,
OKEBON GALL.PANAL COCOx280,7790263110754,,,,
SECADOR DE GOMA NEGRO x50CM,7793821101034,,,,
HUGGIES ACTIVE SEC NENEx9.GRAN,7794626004605,,,,
SUSSEX PREMIUM ROLLOx3x60PAÑ,7790250056799,,,,
ALMA MORA MALBECX750,7790240042108,,,,
LA GAUCHITA ESPONJA LAVA AUTOS,7792459085990,,,,
REJILLA PARA AUTO N5,7798050283018,,,,
MEDIA NARANJA GAMUZA CLASICA.,7790927813243,,,,
NOSOTRAS TOA.ULT.INVIx8rapigel,7702027430503,,,,
RANCHERA VELAS x160,7790590001510,,,,
RANCHERA VELAS CHICAS,7790590000315,,,,
RANCHERA FOSFOROSx222,7790590000438,,,,
VILLAVICENCIO AGUA MINx1 1/2,7790315000439,,,,
ADES JUGOX1L.BRICK MANZANA,7794000792517,,,,
CEPITA JUGO MANZANAX1.5LT,7790895004933,,,,
MINERVA LIMONx1LT,7790070507358,,,,
MAMA COCINA CHIPA X500,7792180005632,,,,
PLUSBELLE ACONDx1LT.NUTRICION,7790740502423,,,,
LA GAUCHITA CABO METALICO,7792459000382,,,,
AZUCAR LIGHT FRONTERITAx500GR,7790220001910,,,,
ACEITUNAS VERDES xKg N 1,5913,,,,
NONISEC P/INCONT.FUERTEx20,7790940516541,,,,
INCA ARVEJAS NATURALx350.,7790790120257,,,,
ALCO ARVEJASx350gr.,7790088001053,,,,
INALPA ARVEJASx350GR.,7792350004526,,,,
PENNISI ATUNx180.enACEITE.,7790202000573,,,,
PENNISI CABALLAenACEITEx380,7790202000207,,,,
DON ELIO POROTOSx350GR LATA,7798048721195,,,,
INALPA CHOCLO CREMOSOX350.BLCO,7792350004533,,,,
LA CELTIBERA CABALLAx380 ACEIT,7790202000399,,,,
IMPERIAL CERVEZA LATA X473CC,7793147000752,,,,
ARCOR DURAZNOSx820gr.,7790580650100,,,,
LA COLINA DURAZNOSx850gr.,7790313000011,,,,
